Chemical Ingredient Name,API Number,OilAndGasGroup,Month,Production,Chemical Ingredient Mass (Thousand Pounds),Operator
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-05087-0000,G,7,136.66667,992.21881,Oasis Petroleum
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-05733-0000,G,8,3244.3333,1792.6991,Oasis Petroleum
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-05137-0000,G,10,516,284.81738,Hess
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-05053-0000,G,3,6051.5,693.04309,Whiting Petroleum
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-05206-0000,G,10,36.166668,716.10016,Petro-Hunt LLC
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-05157-0000,G,8,1967.6666,718.62769,ConocoPhillips
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-05053-0000,G,3,12.5,693.04309,Whiting Petroleum
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-05522-0000,G,8,12.833333,695.75867,ConocoPhillips
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-05504-0000,G,8,1603.6666,41.68816,ConocoPhillips
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-05014-0000,G,1,1833.5,689.51703,ConocoPhillips
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-05027-0000,G,9,2675.5,328.10275,Hess
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-05677-0000,G,8,58.666668,1668.0125,Oasis Petroleum
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-05827-0000,G,10,21,2179.9429,Oasis Petroleum
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-05779-0000,G,10,3120.3333,1836.3961,Oasis Petroleum
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-05226-0000,G,8,721.66669,856.60791,Whiting Petroleum
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-03850-0000,G,10,36.166668,2562.667,Enerplus Corporation
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-05206-0000,G,5,31.5,716.10016,Petro-Hunt LLC
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-05086-0000,G,3,2593.1667,1058.5173,Oasis Petroleum
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-05456-0000,G,12,7.6666665,5537.4395,ConocoPhillips
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-05528-0000,G,12,2157.3333,1799.8485,Oasis Petroleum
